asset,strict_promotion,experimental,implementation,overlay,target_vol,trend_ma,trend_slope,rsi_entry,lookback,reclaim,rsi_exit,exit_ma,development_score,full_excess,full_sharpe_excess,full_dd_delta,holdout_excess,holdout_sharpe_excess,stress_development_excess,stress_full_excess,bootstrap_prob_positive,current_leverage
SPY,False,False,SSO,credit_slope,,150,10,25,10,10,85,,0.9255833333333332,0.019713115797162617,0.0417041469834083,-1.1102230246251565e-16,0.023114583122446408,0.043706798334552266,-0.018338866190983794,-0.01819904850679621,0.805,1.0
SOXX,False,False,SOXL_BLEND,rv_ratio,,100,20,20,2,10,95,,0.989738219895288,0.07539849076011995,0.10893117719625622,3.3306690738754696e-16,-0.06627105086798935,-0.20173682872808874,0.07259126238077362,0.06217351227575385,0.37375,1.0
MAGS7_TSM,False,True,MAGX_TSMX,breadth_rv,0.3,150,5,20,10,5,90,20.0,0.9055555555555557,-0.07235021212541515,-0.19978319372841857,-0.0037100982259249404,-0.13619216629129305,-0.5290695476605566,-0.08354301515119156,-0.1314317308077344,0.0,1.06387154168455
