asset,start,end,selection_mode,strict_train_pass,oos_pass,current_state,regime,slope,rsi_entry,look,reclaim,rsi_exit,exit_sma,full_cagr,benchmark_cagr,full_sharpe,benchmark_sharpe,full_maxdd,benchmark_maxdd,oos_excess,stress_excess
SPY,2010-01-04,2026-07-20,diagnostic_fallback,0,False,levered,200,10,15,5,20,90,,0.15576632624536657,0.14144396827962824,0.8094616504480499,0.8849681524932267,-0.32449577334602075,-0.3204895842839216,0.018062307945184486,-0.003509569140742741
SOXX,2010-01-04,2026-07-20,strict,1790,True,native,150,5,15,2,10,95,,0.3454968421225211,0.24645863034647753,1.016645802713024,0.8895935062635895,-0.4737382619789252,-0.473738261978925,0.14005367930874946,0.09072296981505334
MAGS7_TSM,2024-10-03,2026-07-20,strict,24,True,native,150,10,15,5,5,90,,0.3402359779733486,0.2995451636485307,1.0877893052178822,1.0376560310734284,-0.32044628619820825,-0.32044628619820825,0.05518973963441254,0.018358627021348273
