selection,product,signal,family,strategy,median_cagr,worst_cagr,median_sharpe,worst_sharpe,median_calmar,worst_maxdd,median_exposure,total_trades,windows,robust_score
ROBUST_OVERALL,USD,SMH,PULLBACK_RECLAIM,RSI5_R10_H40,0.8341096732169674,0.3074219330158461,2.0182535730032916,1.1545941737441627,3.8906913221762323,-0.3639715833284156,0.28866864416587534,67.0,4,5.460613082947255
BEST_MA_REGIME,USD,SMH,MA_REGIME,MA63_EXIT250,0.7320204454169326,0.3472671067178048,1.2116355921361128,0.8644301795616112,1.3352862292380339,-0.5482123827747792,0.8148356831329675,304.0,4,2.9366629196234517
BEST_BREAKOUT,USD,SMH,BREAKOUT_RSI,B20_RSI92,0.45551579675179754,0.14013747164721657,1.0454228341708398,0.531970042827093,0.8085073749399255,-0.6140848500065845,0.4568101620080657,613.0,4,2.0569914556411466
BEST_MHT,USD,SOXX,MHT,MHT6_3,0.44137366473264594,0.16773881211809583,1.023547770881024,0.6110685519022022,0.9592431855583496,-0.512712280772833,0.5302722152690864,139.0,4,2.219427500473972
ROBUST_OVERALL,SOXL,SMH,PULLBACK_RECLAIM,RSI5_R10_H40,1.1584987058594436,0.4517236543754999,1.8396707653387252,1.1060618629241703,3.843002949771632,-0.5368918963278162,0.28866864416587534,63.0,4,5.342048058257518
BEST_MA_REGIME,SOXL,SMH,MA_REGIME,MA63_EXIT250,0.812166561379933,0.481121024155319,1.1256386843022235,0.9071890434762779,1.2230539758557362,-0.7298857520484179,0.8267427461787911,219.0,4,2.8160504331046883
BEST_BREAKOUT,SOXL,SMH,BREAKOUT_RSI,B20_RSI92,0.42593074978722956,0.19191929112874084,0.8517996264577503,0.5956190328870458,0.5857149585078985,-0.8492342891217719,0.47066613483796893,587.0,4,1.6823789887517806
BEST_MHT,SOXL,SOXX,MHT,MHT6_3,0.5400142504169922,0.3057014950592387,0.9727222146405818,0.7586096849039715,0.9751041730694903,-0.6038102063369604,0.5437323513896504,125.0,4,2.2903295564656845
