Date,Open,High,Low,Close,Volume
2001-07-13,19.789289092482562,20.14237623830361,19.318506231387833,19.885087966918945,603300
2001-07-16,19.529276891749053,19.58401981551466,18.732778549194336,18.732778549194336,180000
2001-07-17,18.598660800300884,19.501907348632812,18.584975460109202,19.501907348632812,287100
2001-07-18,18.913428492561536,19.053021156427647,18.694459915161133,18.694459915161133,301800
2001-07-19,19.81667304777528,19.89878664755482,19.48822021484375,19.48822021484375,405000
2001-07-20,19.091337682680454,19.40610515296454,19.091337682680454,19.392419815063477,360000
2001-07-23,19.501900997776563,19.501900997776563,18.803937911987305,18.803937911987305,195300
2001-07-24,18.69446579232109,18.69446579232109,18.283899189074837,18.297584533691406,150300
2001-07-25,18.22915384473558,18.571292084277253,17.969127655029297,17.969127655029297,179100
2001-07-26,18.762882113240483,19.830353974293498,18.694453867618925,19.638757705688477,281700
2001-07-27,19.844043330987855,20.30935107344933,19.844043330987855,20.09311866760254,121500
2001-07-30,20.197131236448318,20.40241445410573,20.060276280072262,20.22723960876465,7800
2001-07-31,20.637806044079475,20.637806044079475,20.22723960876465,20.22723960876465,152100
2001-08-01,21.007315692062896,21.541053331143416,21.007315692062896,21.281028747558594,28500
2001-08-02,21.814755107956884,21.883181775178763,21.664213307696713,21.691585540771484,64800
2001-08-03,21.691592121281303,21.691592121281303,21.281025728653727,21.417879104614258,9600
2001-08-06,20.952569642513396,21.11679681256473,20.911513633093747,21.034683227539062,21900
2001-08-07,20.69255146181708,20.708972930908203,20.52832424141105,20.708972930908203,18600
2001-08-08,20.621385499226086,20.95257606848482,20.473581314086914,20.473581314086914,18900
2001-08-09,19.707186669418494,19.9124698638916,19.707186669418494,19.9124698638916,3000
2001-08-10,19.87141541924317,19.980898127667643,19.87141541924317,19.953527450561523,12600
2001-08-13,20.39146423884707,20.473577835103065,20.281981532087855,20.43252182006836,24300
2001-08-14,20.583065256579786,20.583065256579786,20.514636993408203,20.514636993408203,4200
2001-08-15,20.186171261973218,20.186171261973218,19.7126522064209,19.7126522064209,6300
2001-08-16,19.15976415938868,19.460847854614258,18.96816786471519,19.460847854614258,13500
2001-08-17,19.15976934780243,19.15976934780243,18.776575088500977,18.776575088500977,1500
2001-08-20,18.886048860083477,19.009218430716373,18.76287928945058,18.981847763061523,32700
2001-08-21,18.968180176104777,18.968180176104777,18.502870559692383,18.502870559692383,4200
2001-08-22,18.66434602363492,19.07765007019043,18.47548587721918,19.07765007019043,8400
2001-08-23,19.189873501235954,19.430738883775934,19.1406044074402,19.173450469970703,3000
2001-08-24,19.507373521144643,20.104063829852215,19.43347302632895,20.00005340576172,1200
2001-08-27,20.117750476052013,20.63506337059996,20.117750476052013,20.446203231811523,12300
2001-08-28,20.076696942410578,20.158808966827188,19.967212677001953,19.967212677001953,3000
2001-08-29,20.063017416342465,20.063017416342465,19.269256591796875,19.269256591796875,900
2001-08-30,18.516541257817856,18.749195098876953,18.475485250402592,18.749195098876953,3600
2001-08-31,18.612342299049903,19.017433262826213,18.612342299049903,18.84225845336914,6000
