product,signal,family,strategy,roll_years,windows,positive_cagr_pct,median_cagr,worst_cagr,median_sharpe,worst_sharpe,median_maxdd,worst_maxdd
SOXL,SMH,BREAKOUT_RSI,B20_RSI92,3,54,0.8518518518518519,0.1548582246966742,-0.2303844433684441,0.5506584795825176,-0.0656222479171941,-0.6647578737142839,-0.849234289121772
SOXL,SMH,BREAKOUT_RSI,B20_RSI92,5,46,0.9130434782608695,0.15147829874070495,-0.0767279766676463,0.5536569179929909,0.17763022261902164,-0.7229516238299154,-0.849234289121772
SOXL,SMH,MA_REGIME,MA63_EXIT250,3,54,0.9814814814814815,0.4984000710633172,-0.14060414239987218,0.9692522693484789,0.024624357170499912,-0.5431410556813931,-0.7298857520484179
SOXL,SMH,MA_REGIME,MA63_EXIT250,5,46,1.0,0.49458691297612756,0.11472535279530605,0.9210507826729539,0.47591155628559434,-0.5552927263984097,-0.7298857520484179
SOXL,SMH,PULLBACK_RECLAIM,RSI5_R10_H40,3,54,0.9444444444444444,0.28226873698711497,-0.07153963628164306,0.8876018134658108,-0.08022212403268182,-0.3590593724797133,-0.5368918963278165
SOXL,SMH,PULLBACK_RECLAIM,RSI5_R10_H40,5,46,0.9347826086956522,0.30073441955277147,-0.03377852522247382,0.9280594593184879,0.0488848565508462,-0.37666293071358004,-0.5368918963278166
SOXL,SOXX,MHT,MHT6_3,3,54,0.9259259259259259,0.20602893572335357,-0.06777568119398047,0.6198755710389113,0.1047645904312246,-0.4612822392658108,-0.6038102063369601
SOXL,SOXX,MHT,MHT6_3,5,46,0.9347826086956522,0.18040297775323766,-0.02109238582009254,0.6053291053247698,0.17694436219002282,-0.5301710980137953,-0.6038102063369605
USD,SMH,BREAKOUT_RSI,B20_RSI92,3,66,0.6666666666666666,0.08527582156943903,-0.17695566417797992,0.4482100230273739,-0.40363785471352137,-0.4847068720977808,-0.6121712726422448
USD,SMH,BREAKOUT_RSI,B20_RSI92,5,58,0.7413793103448276,0.07580317320149343,-0.15941640713687155,0.38794240645137235,-0.3163914106698352,-0.5385324778466709,-0.6121712726422451
USD,SMH,MA_REGIME,MA63_EXIT250,3,66,0.9090909090909091,0.30108042038062754,-0.08217806210172762,0.8509390692230125,-0.07862233956818365,-0.4241556142373484,-0.5482123827747793
USD,SMH,MA_REGIME,MA63_EXIT250,5,58,0.9482758620689655,0.3008282863085212,-0.03056275917849094,0.8393835000006884,0.09992663795927482,-0.4875864459831992,-0.5482123827747793
USD,SMH,PULLBACK_RECLAIM,RSI5_R10_H40,3,66,0.8939393939393939,0.12601670458668246,-0.04612658614134213,0.6628405746565256,-0.11691004898886663,-0.2548530977791902,-0.36397158332841595
USD,SMH,PULLBACK_RECLAIM,RSI5_R10_H40,5,58,0.9137931034482759,0.11332634180189027,-0.029115318758575648,0.5838354332039171,-0.04772290768017462,-0.26136596716064053,-0.3639715833284163
USD,SOXX,MHT,MHT6_3,3,66,0.8939393939393939,0.1238228512624503,-0.13215906323185922,0.5142248013486252,-0.3115130341031059,-0.35519656151578827,-0.512712280772833
USD,SOXX,MHT,MHT6_3,5,58,0.9137931034482759,0.11154857151696462,-0.008377398527651181,0.4962731447809675,0.13245463291898207,-0.4057585094109598,-0.5127122807728333
