selection,product,signal,family,strategy,window,start,end,total_return,end_value,cagr,ann_vol,sharpe,max_drawdown,calmar,exposure,trades,entry_ma,exit_ma,breakout,exit_rsi,rsi_low,reclaim,hold,entry_score,exit_score
ROBUST_OVERALL,USD,SMH,PULLBACK_RECLAIM,RSI5_R10_H40,1Y,2025-07-21,2026-07-20,1.4594647248882704,24594.647248882702,1.4682987989098173,0.3583503693418185,2.703376324104494,-0.17486789989642404,8.396617102278377,0.3346613545816733,3.0,,,,,5.0,10.0,40.0,,
ROBUST_OVERALL,USD,SMH,PULLBACK_RECLAIM,RSI5_R10_H40,3Y,2023-07-20,2026-07-20,14.241258711386182,152412.5871138618,1.491367719478006,0.36025052281519,2.7163932191855698,-0.19795191924941313,7.5339896937242115,0.3191489361702128,6.0,,,,,5.0,10.0,40.0,,
ROBUST_OVERALL,USD,SMH,PULLBACK_RECLAIM,RSI5_R10_H40,5Y,2021-07-20,2026-07-20,38.812992112204356,398129.92112204357,1.0954624544328029,0.3331971665460986,2.38631045010165,-0.19795191924941313,5.533982487194554,0.28286852589641437,9.0,,,,,5.0,10.0,40.0,,
ROBUST_OVERALL,USD,SMH,PULLBACK_RECLAIM,RSI5_R10_H40,10Y,2016-07-20,2026-07-20,90.44356473121054,914435.6473121054,0.5727568920011319,0.3019774810498447,1.6501966959049332,-0.25485309777918996,2.2474001571579105,0.29446876243533626,19.0,,,,,5.0,10.0,40.0,,
ROBUST_OVERALL,USD,SMH,PULLBACK_RECLAIM,RSI5_R10_H40,MAX,2007-02-01,2026-07-20,181.72250113943298,1827225.0113943298,0.3074219330158461,0.26170783649067464,1.1545941737441627,-0.3639715833284156,0.8446316885635983,0.2696078431372549,33.0,,,,,5.0,10.0,40.0,,
BEST_MA_REGIME,USD,SMH,MA_REGIME,MA63_EXIT250,1Y,2025-07-21,2026-07-20,1.1383748228258765,21383.748228258766,1.144859789611124,0.7111739686040544,1.4323746126599728,-0.30921443293739437,3.7024784992585387,1.0,0.5,63.0,250.0,,,,,,,
BEST_MA_REGIME,USD,SMH,MA_REGIME,MA63_EXIT250,3Y,2023-07-20,2026-07-20,7.194765873314877,81947.65873314877,1.0236338204623547,0.7110357385323652,1.353980744543506,-0.5482123827747791,1.8672212679349345,0.9175531914893617,5.5,63.0,250.0,,,,,,,
BEST_MA_REGIME,USD,SMH,MA_REGIME,MA63_EXIT250,5Y,2021-07-20,2026-07-20,18.63903432614115,196390.3432614115,0.8182533669485321,0.638122915947257,1.2598730081755058,-0.5482123827747791,1.4925846125673767,0.7880478087649403,42.5,63.0,250.0,,,,,,,
BEST_MA_REGIME,USD,SMH,MA_REGIME,MA63_EXIT250,10Y,2016-07-20,2026-07-20,142.78953370619936,1437895.3370619935,0.645787523885333,0.568722604837733,1.1633981760967198,-0.5482123827747792,1.177987845908691,0.8416235575009948,54.5,63.0,250.0,,,,,,,
BEST_MA_REGIME,USD,SMH,MA_REGIME,MA63_EXIT250,MAX,2007-02-01,2026-07-20,326.4165191807669,3274165.191807669,0.3472671067178048,0.47788263244281876,0.8644301795616112,-0.5482123827747789,0.6334535986949276,0.7679738562091504,201.5,63.0,250.0,,,,,,,
BEST_BREAKOUT,USD,SMH,BREAKOUT_RSI,B20_RSI92,1Y,2025-07-21,2026-07-20,0.6565447461992564,16565.447461992564,0.6598792307129822,0.49918081048254864,1.2673006878088486,-0.2876447318079661,2.294077233973201,0.5338645418326693,22.5,,,20.0,92.0,,,,,
BEST_BREAKOUT,USD,SMH,BREAKOUT_RSI,B20_RSI92,3Y,2023-07-20,2026-07-20,3.3337923106925764,43337.923106925766,0.6346266067966304,0.49590457937878446,1.2419663945420742,-0.5385324778466707,1.1784370170842684,0.44813829787234044,57.5,,,20.0,92.0,,,,,
BEST_BREAKOUT,USD,SMH,BREAKOUT_RSI,B20_RSI92,5Y,2021-07-20,2026-07-20,8.656672006878326,96566.72006878325,0.5767041808730933,0.45584133936293203,1.2273288416438817,-0.5385324778466708,1.0708809674377533,0.399203187250996,76.5,,,20.0,92.0,,,,,
BEST_BREAKOUT,USD,SMH,BREAKOUT_RSI,B20_RSI92,10Y,2016-07-20,2026-07-20,16.747801877835066,177478.01877835067,0.3343274126305018,0.45317826113786547,0.863516826697798,-0.6121712726422448,0.5461337824420978,0.5049741345005969,177.5,,,20.0,92.0,,,,,
BEST_BREAKOUT,USD,SMH,BREAKOUT_RSI,B20_RSI92,MAX,2007-02-01,2026-07-20,11.781958561279035,127819.58561279035,0.14013747164721657,0.3890334891615273,0.531970042827093,-0.6140848500065845,0.2282053883037726,0.46548202614379086,301.5,,,20.0,92.0,,,,,
BEST_MHT,USD,SOXX,MHT,MHT6_3,1Y,2025-07-21,2026-07-20,1.0076077074596856,20076.077074596855,1.0131899151206087,0.6359619322707809,1.4215821352418978,-0.29119487130679234,3.4794222527811924,0.8565737051792829,3.0,,,,,,,,6.0,3.0
BEST_MHT,USD,SOXX,MHT,MHT6_3,3Y,2023-07-20,2026-07-20,3.9405180084034033,49405.18008403403,0.707998907701787,0.4983754672196474,1.3256714731566839,-0.43410390061420423,1.630943437043654,0.5531914893617021,9.0,,,,,,,,6.0,3.0
BEST_MHT,USD,SOXX,MHT,MHT6_3,5Y,2021-07-20,2026-07-20,8.073881577922018,90738.81577922018,0.5571189969945232,0.47025118912147834,1.1771054908556131,-0.434103900614204,1.2833770813997936,0.50199203187251,15.0,,,,,,,,6.0,3.0
BEST_MHT,USD,SOXX,MHT,MHT6_3,10Y,2016-07-20,2026-07-20,15.627125366635138,166271.25366635137,0.3256283324707687,0.4315921352368761,0.8699900509064352,-0.512712280772833,0.6351092897169057,0.584958217270195,39.0,,,,,,,,6.0,3.0
BEST_MHT,USD,SOXX,MHT,MHT6_3,MAX,2007-02-01,2026-07-20,19.34375120562489,203437.5120562489,0.16773881211809583,0.36073491610860875,0.6110685519022022,-0.5127122807728327,0.3271597315072229,0.5073529411764706,76.0,,,,,,,,6.0,3.0
ROBUST_OVERALL,SOXL,SMH,PULLBACK_RECLAIM,RSI5_R10_H40,1Y,2025-07-21,2026-07-20,5.624037235239629,66240.37235239628,5.6741224516424476,0.7072856469332686,3.0395892328148295,-0.2711647690173763,20.924998745979604,0.3346613545816733,3.0,,,,,5.0,10.0,40.0,,
ROBUST_OVERALL,SOXL,SMH,PULLBACK_RECLAIM,RSI5_R10_H40,3Y,2023-07-20,2026-07-20,31.545093165061644,325450.93165061646,2.2125030718322733,0.5531938524419605,2.38578010361282,-0.2711647690173763,8.159257118281822,0.3191489361702128,6.0,,,,,5.0,10.0,40.0,,
