product,signal,family,strategy,median_cagr,worst_cagr,median_sharpe,worst_sharpe,median_calmar,worst_maxdd,median_exposure,total_trades,windows,robust_score
SOXL,SMH,PULLBACK_RECLAIM,RSI5_R10_H40,1.1584987058594436,0.4517236543754999,1.8396707653387252,1.1060618629241703,3.843002949771632,-0.5368918963278162,0.28866864416587534,63.0,4,5.342048058257518
SOXL,SOXX,PULLBACK_RECLAIM,RSI5_R20_H40,0.7690442676440713,0.3444140363857844,1.6024594960174707,1.0570865670520984,2.3795527271572716,-0.5776318542272618,0.1996100703568704,44.0,4,4.4184908831306595
SOXL,SMH,PULLBACK_RECLAIM,RSI5_R10_H20,0.7160596872134654,0.2449241664076791,1.726220420387858,0.8424575470039833,2.302351636519984,-0.6930969943837274,0.16243186214172675,71.0,4,4.361648526862679
SOXL,SOXX,PULLBACK_RECLAIM,RSI5_R10_H40,0.8331623003510144,0.3288656334977209,1.495174559050127,0.8791332421675079,2.441965723491123,-0.7490088965917829,0.25701412416390945,55.0,4,4.321356409831988
SOXL,SMH,PULLBACK_RECLAIM,RSI5_R20_H40,0.7178695460200941,0.2473456555680007,1.5972038386199165,0.8112948393531877,2.321874338735647,-0.710537069802852,0.1818776569885911,43.0,4,4.24557471497786
SOXL,SMH,PULLBACK_RECLAIM,RSI5_R10_H10,0.3619569320763161,0.14855656296309383,1.42186978077592,0.7122439018082235,1.417287753930251,-0.42718910342436966,0.08121593107086338,71.0,4,3.091496791639774
SOXL,SMH,MA_REGIME,MA63_EXIT250,0.812166561379933,0.481121024155319,1.1256386843022235,0.9071890434762779,1.2230539758557362,-0.7298857520484179,0.8267427461787911,219.0,4,2.8160504331046883
SOXL,SOXX,PULLBACK_RECLAIM,RSI5_R20_H20,0.3669068625779782,0.16311774695038772,1.2503734276397336,0.7399997418100102,1.2669861640651718,-0.5765263846872988,0.10686239001214393,50.0,4,2.7839184006326017
SOXL,SMH,PULLBACK_RECLAIM,RSI5_R20_H20,0.3680614813169969,0.11593470458624489,1.2988737490692004,0.553570231201156,1.2742304448252448,-0.7177749844421445,0.10618643558967823,48.0,4,2.7694641039878567
SOXL,SOXX,PULLBACK_RECLAIM,RSI5_R10_H20,0.4345685040102747,0.10298775623735623,1.1843587041546901,0.46196627924970446,1.3066385632619588,-0.704877438453384,0.14264284621358997,64.0,4,2.657982715347753
SOXL,SMH,MA_REGIME,MA40_EXIT250,0.7820588003910305,0.3950357843576473,1.1044345579381705,0.8236270517001476,1.0864744977140188,-0.8500460807304777,0.837871120731264,276.0,4,2.59433371075605
SOXL,SMH,PULLBACK_RECLAIM,RSI5_R20_H10,0.256940401189237,0.11482013566240545,1.2475900154866717,0.6700287627076417,1.0677122923589677,-0.3344978488584034,0.058312786772211106,51.0,4,2.540219566353753
SOXL,SMH,PULLBACK_RECLAIM,RSI10_R10_H40,0.7064828911560053,0.31762138521285266,1.0909684961319575,0.770357971647601,1.0849211145326632,-0.8165121806048041,0.4628703649389707,96.0,4,2.5272897961829472
SOXL,SMH,PULLBACK_RECLAIM,RSI15_R10_H40,0.7910049513641908,0.3512158792893374,1.123021000018866,0.7864735925390274,1.0107200198483182,-0.8165121806048041,0.6072034979857728,126.0,4,2.5059673576466093
SOXL,SOXX,PULLBACK_RECLAIM,RSI5_R20_H10,0.24808741637081744,0.1404231928956825,1.1616327250911591,0.8199800206334579,1.0289671385951966,-0.2854678445963219,0.05986612616137298,52.0,4,2.465806465292562
SOXL,SMH,MA_REGIME,MA20_EXIT250,0.7164966338920298,0.38396506042168177,1.0602838410986795,0.8125042700119641,0.913573040653419,-0.8003575957128033,0.8522045112619048,342.0,4,2.3689654794659303
SOXL,SMH,MA_REGIME,MA90_EXIT250,0.6753465031503231,0.3468278430374978,1.0357710051239641,0.7767298196898159,0.9239646284463321,-0.8379007993534977,0.8264996737432053,194.0,4,2.3273320100114994
SOXL,SMH,MA_REGIME,MA100_EXIT250,0.656585978294233,0.3569089872475817,1.022971434784897,0.7870367718880859,0.8949830425130623,-0.807314411482482,0.8258145634920098,185.0,4,2.293168163893772
SOXL,SOXX,MHT,MHT6_3,0.5400142504169922,0.3057014950592387,0.9727222146405818,0.7586096849039715,0.9751041730694903,-0.6038102063369604,0.5437323513896504,125.0,4,2.2903295564656845
SOXL,SMH,PULLBACK_RECLAIM,RSI10_R20_H10,0.4109832124748285,0.13602759324062208,1.2305364460746753,0.6023706896789874,0.8201773965457269,-0.6062071835077183,0.13449314899421405,108.0,4,2.26932031166046
SOXL,SMH,MA_REGIME,MA40_EXIT200,0.6551062398290197,0.3088394120641398,1.0198241493428866,0.7371998876299063,0.8584957482015346,-0.8693141577457142,0.8201562860002078,279.0,4,2.217039575483968
SOXL,SMH,PULLBACK_RECLAIM,RSI15_R10_H20,0.5942551741879138,0.24382502409422369,1.0351004851041226,0.6716060404396998,0.8898704082999621,-0.8053024099329399,0.4327656613417714,176.0,4,2.2147849155611214
SOXL,SMH,MA_REGIME,MA20_EXIT100,0.6628852639578968,0.34486583309277363,1.0301365528172326,0.7775499139292721,0.8144558982971724,-0.8138995191069613,0.7772100391527499,415.0,4,2.21141284614311
SOXL,SOXX,MHT,MHT6_2,0.5350649517332179,0.3630265671482089,0.9549709973607563,0.8176147938735137,0.862847078489761,-0.6201156208000851,0.6189858966269821,81.0,4,2.203735057893
SOXL,SMH,MA_REGIME,MA30_EXIT250,0.6646077620155937,0.3442970360937454,1.0261672734699923,0.773432208639176,0.8068961048880039,-0.8386772643660276,0.8426120004851776,290.0,4,2.198569948564663
