product,signal,family,strategy,roll_years,start,end,total_return,end_value,cagr,ann_vol,sharpe,max_drawdown,calmar,exposure,trades
USD,SMH,PULLBACK_RECLAIM,RSI5_R10_H40,3,2007-02-01,2010-02-01,0.8598209221285331,18598.20922128533,0.2297694771743739,0.19214917001409734,1.1715080163457192,-0.17385223083178236,1.3216366340256887,0.21164021164021163,4.0
USD,SMH,PULLBACK_RECLAIM,RSI5_R10_H40,3,2007-05-01,2010-05-01,0.702761867018169,17027.61867018169,0.19384933033226237,0.17993188901035795,1.0736743247484901,-0.17385223083178247,1.115023542722491,0.16512549537648613,4.0
USD,SMH,PULLBACK_RECLAIM,RSI5_R10_H40,3,2007-08-01,2010-08-01,0.26480970909333834,12648.097090933383,0.08145486058737061,0.2232640347883976,0.46130642155656326,-0.26136596716064087,0.31165060039093306,0.164021164021164,4.0
USD,SMH,PULLBACK_RECLAIM,RSI5_R10_H40,3,2007-11-01,2010-11-01,0.18120795390049693,11812.07953900497,0.05708226737843303,0.2050235748661994,0.3721805187459188,-0.26136596716064053,0.21839977101283875,0.10582010582010581,2.0
USD,SMH,PULLBACK_RECLAIM,RSI5_R10_H40,3,2008-02-01,2011-02-01,0.41560315941890624,14156.031594189062,0.12265774365406745,0.21448997561375377,0.645711270591693,-0.26136596716064053,0.46929500801716717,0.15852047556142668,3.0
USD,SMH,PULLBACK_RECLAIM,RSI5_R10_H40,3,2008-05-01,2011-05-01,0.5918198461982258,15918.198461982258,0.16761044582041418,0.22350040805647386,0.8040073270045021,-0.26136596716064053,0.6412864216456979,0.18121693121693122,3.5
USD,SMH,PULLBACK_RECLAIM,RSI5_R10_H40,3,2008-08-01,2011-08-01,0.4026650663416462,14026.650663416462,0.1193983445672635,0.2321732755091149,0.6008648459656895,-0.26136596716064053,0.45682437489605904,0.21164021164021163,4.0
USD,SMH,PULLBACK_RECLAIM,RSI5_R10_H40,3,2008-11-01,2011-11-01,0.4026650663416462,14026.650663416462,0.1193983445672635,0.2321732755091149,0.6008648459656895,-0.26136596716064053,0.45682437489605904,0.21164021164021163,4.0
USD,SMH,PULLBACK_RECLAIM,RSI5_R10_H40,3,2009-02-01,2012-02-01,0.4026650663416462,14026.650663416462,0.11923156908077259,0.23202009348228225,0.600467274170424,-0.26136596716064053,0.45618628307292425,0.21136063408190225,4.0
USD,SMH,PULLBACK_RECLAIM,RSI5_R10_H40,3,2009-05-01,2012-05-01,0.3804363043833079,13804.363043833078,0.11329554212357262,0.2420519215517295,0.5635322081988048,-0.26136596716064053,0.4334747302962325,0.25891677675033026,4.5
USD,SMH,PULLBACK_RECLAIM,RSI5_R10_H40,3,2009-08-01,2012-08-01,-0.0708235935981083,9291.764064018917,-0.024156653467038325,0.22963188514900484,0.00814694524726659,-0.2613659671606404,-0.09242463251610411,0.24570673712021135,5.0
USD,SMH,PULLBACK_RECLAIM,RSI5_R10_H40,3,2009-11-01,2012-11-01,-0.1320949143590352,8679.050856409647,-0.04612658614134213,0.2120051440572027,-0.11691004898886663,-0.2606265937543951,-0.17698342090450725,0.21164021164021163,4.0
USD,SMH,PULLBACK_RECLAIM,RSI5_R10_H40,3,2010-02-01,2013-02-01,-0.05829966507537798,9417.00334924622,-0.019797673980957886,0.2150839535454486,0.01436529001235326,-0.2606265937543951,-0.07596183373218807,0.2404227212681638,4.5
USD,SMH,PULLBACK_RECLAIM,RSI5_R10_H40,3,2010-05-01,2013-05-01,0.0018392250420473655,10018.392250420473,0.00061351130807763,0.2300874565215569,0.11743030259148318,-0.2606265937543951,0.0023539858279227653,0.2860927152317881,5.5
USD,SMH,PULLBACK_RECLAIM,RSI5_R10_H40,3,2010-08-01,2013-08-01,0.38461700646961794,13846.17006469618,0.11457651314109718,0.18460350002620304,0.6799698787213581,-0.22164625527436432,0.5169341255022283,0.294973544973545,5.5
USD,SMH,PULLBACK_RECLAIM,RSI5_R10_H40,3,2010-11-01,2013-11-01,0.2644504282935005,12644.504282935006,0.081240733285598,0.1871427085497129,0.5109775993588954,-0.22164625527436432,0.3665332995815081,0.31704095112285335,6.0
USD,SMH,PULLBACK_RECLAIM,RSI5_R10_H40,3,2011-02-01,2014-02-01,0.055083052955516854,10550.830529555169,0.018057943430923817,0.17622842036681055,0.18964259232631603,-0.2216462552743642,0.08147190850831583,0.26490066225165565,5.0
USD,SMH,PULLBACK_RECLAIM,RSI5_R10_H40,3,2011-05-01,2014-05-01,-0.06171611895635154,9382.838810436484,-0.021037917844962783,0.16467511761838013,-0.04644345072200486,-0.22164625527436443,-0.09491664011612122,0.2423841059602649,5.0
USD,SMH,PULLBACK_RECLAIM,RSI5_R10_H40,3,2011-08-01,2014-08-01,0.06481507171818701,10648.15071718187,0.02115436132792259,0.15223981820036006,0.21382869753267048,-0.1744549500584366,0.1212597368021749,0.21164021164021163,4.0
USD,SMH,PULLBACK_RECLAIM,RSI5_R10_H40,3,2011-11-01,2014-11-01,0.0035458104411028035,10035.458104411027,0.0011821071408630868,0.1911588887304183,0.1024863666977836,-0.3639715833284153,0.0032478006388659726,0.2543046357615894,4.5
USD,SMH,PULLBACK_RECLAIM,RSI5_R10_H40,3,2012-02-01,2015-02-01,-0.1081760306737165,8918.239693262834,-0.03754060027010919,0.207965253855097,-0.07938213371479307,-0.3639715833284153,-0.10314156925881746,0.30238726790450926,5.5
USD,SMH,PULLBACK_RECLAIM,RSI5_R10_H40,3,2012-05-01,2015-05-01,0.019725116756941663,10197.251167569417,0.0065409556403539515,0.2295526408394313,0.1443526997527031,-0.36397158332841506,0.01797106131346519,0.3152317880794702,6.5
