Date,Open,High,Low,Close,Volume
2000-06-05,41.396929672656746,42.67068135489234,40.892736298438486,41.901123046875,296800
2000-06-06,41.821513026047256,42.564534831078554,40.17625045776367,40.17625045776367,445600
2000-06-07,40.65390520300317,41.184635035940545,39.56590904548154,40.83966064453125,431000
2000-06-08,41.95419456363495,41.98073105608507,40.680442926029336,41.02541732788086,390400
2000-06-09,41.71536144648215,42.03379932011942,41.211168146556474,41.87458038330078,195000
2000-06-12,42.13994236784541,42.13994236784541,40.17624228269392,40.25585174560547,112400
2000-06-13,40.33546713166113,41.954193115234375,39.618981860243466,41.954193115234375,389000
2000-06-14,41.954189043366505,41.980725532324996,40.14970779418945,40.14970779418945,195000
2000-06-15,40.22931742136944,41.0519485823605,39.59244168382797,40.49468231201172,217800
2000-06-16,40.547755996386215,41.15809525549412,40.14970865348975,40.760047912597656,173800
2000-06-19,40.91926800797625,43.51984405517578,40.6008301246457,43.51984405517578,436400
2000-06-20,43.944423492138206,44.899737046315124,43.73213159121,44.156715393066406,497000
2000-06-21,43.572913913509936,44.66090993692888,43.51984093675779,44.342472076416016,371600
2000-06-22,43.94441934196415,43.94441934196415,42.03379241405266,42.13993835449219,782800
2000-06-23,42.19301773951604,42.537992098392586,41.29077710860815,41.39692306518555,685800
2000-06-26,41.768433913206444,42.19301773951604,40.91926626058725,41.39692306518555,308000
2000-06-27,41.71536121494723,41.79497068291469,40.070098876953125,40.070098876953125,472200
2000-06-28,40.176248442357085,41.23770811058316,40.176248442357085,40.28239440917969,457000
2000-06-29,39.80473513870085,40.07010003962552,38.743275535002155,39.353614807128906,563600
2000-06-30,39.48629342748764,40.25585156552335,39.19439206478443,39.9108772277832,916000
2000-07-03,39.85780815154275,40.86619477588271,39.804735171314334,40.8131217956543,105200
2000-07-05,38.424844696087966,38.87596511033762,37.41645788776522,37.62874984741211,2724400
2000-07-06,38.186008021760436,39.380150037729315,37.4164498336916,39.1678581237793,2786800
2000-07-07,40.01702461342799,41.078484152245714,39.83126919413489,40.44160842895508,359800
2000-07-10,40.54775730288452,41.05195062013243,40.12317345678102,40.3885383605957,187200
2000-07-11,40.33546987617605,41.23771064972209,39.30054663593206,39.75166702270508,446400
2000-07-12,40.706968763519185,41.264234959108435,40.096629596921446,40.73350524902344,229200
2000-07-13,41.60922128757346,42.43185257578442,41.37039284906061,41.76844024658203,288200
2000-07-14,42.56452614517306,43.04218292236328,41.92765044225277,43.04218292236328,272800
2000-07-17,43.04218470579794,43.78520638999174,42.458381953931394,43.705596923828125,331000
2000-07-18,42.88295972067212,43.01564214555044,41.60920844184027,41.79496383666992,434800
2000-07-19,41.741895993341345,41.741895993341345,39.8047323522009,40.30892562866211,745000
2000-07-20,40.521218111682494,41.31731277006526,39.353612612721115,39.67205047607422,544400
2000-07-21,39.08824873569121,39.27400416077597,37.681814802906665,38.05332565307617,1251400
2000-07-24,37.787965662339154,39.380155226763556,37.5756737204159,37.89411163330078,2472800
2000-07-25,39.32708302507497,39.45976549142137,38.34523277411156,39.40669250488281,548600
2000-07-26,37.89410418658189,38.26561501194054,36.75303522298034,37.68181228637695,1001600
2000-07-27,36.248845723931396,36.248845723931396,34.81587524875402,35.1077766418457,1052800
2000-07-28,35.61196441417609,36.089621164887845,34.072848217438235,34.78933334350586,2704800
2000-07-31,35.1608427799963,36.24883866979241,34.364748226486945,35.93040084838867,429600
2000-08-01,35.824259298279415,35.824259298279415,34.55050785656281,34.736263275146484,1313600
2000-08-02,34.736266957388985,35.87733607821994,34.12592766020033,34.391292572021484,604000
2000-08-03,31.949934545219218,34.338218688964844,31.949934545219218,34.338218688964844,2842000
2000-08-04,35.18738381989519,35.18738381989519,32.905245804426876,33.40943908691406,1529600
2000-08-07,33.32983292473687,34.656657483842636,32.98485853936937,34.391292572021484,550800
2000-08-08,34.49742942933588,34.86894020780565,34.178991619218934,34.41781997680664,412600
2000-08-09,35.771186662881114,36.14269750359353,35.29352986767944,35.426212310791016,719800
2000-08-10,35.29353843683109,35.63851287267982,34.444370594741926,34.57705307006836,1133200
2000-08-11,34.550510345943394,35.26699558353208,33.46251424441983,35.1077766418457,632200
2000-08-14,35.82426584683932,37.363382453592415,35.24046299600194,37.25723648071289,1006000
2000-08-15,37.57566846124057,38.84941993450296,37.57566846124057,38.477909088134766,1997200
2000-08-16,39.273999907056385,39.910875581224865,39.088244502090575,39.592437744140625,1496800
2000-08-17,39.48629164836816,40.653897046572595,39.19439029881705,40.361995697021484,745200
2000-08-18,41.39692070393932,41.95418694418466,40.91926392658618,41.370384216308594,1050600
2000-08-21,41.68882151402925,41.92764989953292,40.01702281550357,40.3354606628418,1581200
2000-08-22,40.76004173452769,41.343844415621184,40.41506742297244,40.73350524902344,936600
2000-08-23,40.335468110584074,42.35224151611328,40.017030204447885,42.35224151611328,889400
2000-08-24,42.08686538427242,42.43183969070089,41.635745137404435,42.13993835449219,2990800
2000-08-25,42.03379860702826,42.4053094533025,41.264240425460194,41.609214782714844,602600
2000-08-28,41.50306863349101,42.272626811477735,41.370386189010546,41.82150650024414,424400
2000-08-29,41.66228977310688,41.84804520521627,41.29077890888809,41.50307083129883,1217200
2000-08-30,41.47652558683195,41.47652558683195,40.65389456111743,41.10501480102539,500200
2000-08-31,41.343856685896924,42.29917044757362,41.02541876533803,41.901123046875,1105800
2000-09-01,42.617604349460336,42.75028680384844,41.290779805579255,41.55614471435547,1638600
2000-09-05,41.025414129750956,41.18463307203977,40.20278292792542,40.3885383605957,708800
2000-09-06,39.380151838336076,39.43322481925028,37.81449890136719,37.81449890136719,952800
2000-09-07,38.31869243538898,39.380152059637986,38.05332752932673,39.06171417236328,685000
2000-09-08,38.84942513763819,38.84942513763819,37.20416259765625,37.20416259765625,649400
2000-09-11,36.9387838612432,37.97370668494183,36.19576234679291,36.62034606933594,681200
2000-09-12,37.04493188893432,37.54912508799575,35.66503471255568,35.74464416503906,853800
2000-09-13,34.975092858383334,36.06308891846962,34.975092858383334,36.03655242919922,1732800
2000-09-14,36.93879847010006,37.15109041533052,35.93041173025537,36.0100212097168,473200
2000-09-15,35.452745696929284,36.03654839553142,34.76279705312677,35.134307861328125,632200
2000-09-18,35.4527522193061,36.248846954769554,34.17900064256456,34.391292572021484,300000
2000-09-19,35.02816456988486,36.991864704863254,34.47089831536397,36.965328216552734,1573600
2000-09-20,36.832652589194794,37.60221089257134,35.82426584683932,37.25723648071289,1064800
2000-09-21,36.912251908276836,37.01839785193831,35.63850058433918,35.771183013916016,598600
2000-09-22,31.89685348510742,33.27675064086914,31.870317001342773,33.17060470581055,2000600
2000-09-25,34.07284648336053,34.07284648336053,31.29182158058063,31.423444747924805,599200
2000-09-26,31.546577606232972,32.162222819930456,30.761094985513488,31.10076332092285,665800
2000-09-27,31.92870467477398,32.03485063877165,30.383219698113226,30.782329559326172,1632600
2000-09-28,31.100768392301326,31.928705640806097,30.803560979842647,31.73764419555664,1122200
2000-09-29,31.334286400519538,31.334286400519538,30.06053497349545,30.187908172607422,711600
2000-10-02,30.778078162663896,30.86724037022988,29.300528381117193,29.508573532104492,714000
2000-10-03,29.93316140165972,30.45964446824024,28.8165070431848,29.062763214111328,1486000
2000-10-04,29.232599862256798,30.65495523049928,28.977850178877514,30.570039749145508,1545200
2000-10-05,29.933162588490656,30.570038388245777,29.40243275536139,29.8057861328125,1233000
2000-10-06,29.827013782721597,30.24735086354037,28.12867847836734,28.74432373046875,1237400
2000-10-09,28.532032524174276,28.765554930034437,26.876156533207425,28.234825134277344,1370000
2000-10-10,27.00353317539558,27.17336736931738,25.182069624861796,25.6193904876709,2466400
2000-10-11,24.519715478310538,26.621405700383185,24.519715478310538,25.453800201416016,3080800
2000-10-12,26.642634935805674,26.74878089172522,24.727762603666942,24.880611419677734,2130400
2000-10-13,25.003740782943883,27.576717683449424,24.944299307569114,27.491802215576172,1336000
2000-10-16,27.254033732442764,27.254033732442764,25.687318555843703,25.920839309692383,1334000
2000-10-17,25.68732217104315,25.72977990693342,23.78094002784809,24.5112247467041,2259400
2000-10-18,23.373339925506315,25.687322163324314,22.82138126080466,24.031444549560547,2096800
2000-10-19,27.173363979325096,28.01828485854836,25.94631702127909,27.916385650634766,2875600
2000-10-20,27.593702536253982,29.08399270447006,27.26252766316543,28.340970993041992,3007600
2000-10-23,28.786786821950884,29.869473714523515,28.256057000302217,28.99907875061035,985000
2000-10-24,28.553260152480185,28.553260152480185,26.753024152893342,27.067216873168945,1131800
2000-10-25,25.26273877869734,26.111906468737587,24.63010813696747,24.961284637451172,1765400
