product,family,top10_median_robust_score,top10_median_cagr,top10_worst_of_worst_cagr,top10_median_sharpe,top10_median_calmar,top10_worst_maxdd,dominant_signal
USD,MA_REGIME,2.527956181131977,0.6483875148758953,0.24824941547909996,1.126288432038114,1.0664379860937765,-0.7008206470938396,SMH
USD,BREAKOUT_RSI,1.8420699566911893,0.4074051014177655,0.10880605645762254,0.9407607825243651,0.696620970590631,-0.7080421145150393,SMH
USD,PULLBACK_RECLAIM,3.340106166656688,0.4416583784900361,0.08831356722443218,1.4342864999660292,1.5938020577705139,-0.610533446811438,SMH
USD,MHT,1.7640327280946204,0.39810716136760893,0.16773881211809583,0.8840450699571011,0.5859139285414756,-0.7423743830504694,SMH
SOXL,MA_REGIME,2.25510386968887,0.6637465129867453,0.3083930445427254,1.0281519131436125,0.8767393953572984,-0.8693141577457142,SMH
SOXL,BREAKOUT_RSI,1.5707014191747048,0.37437757690508305,0.1335209719321715,0.8061726606901141,0.5081934924257034,-0.9002218384405003,SMH
SOXL,PULLBACK_RECLAIM,3.6685357533088174,0.5753140956118701,0.10298775623735623,1.4585221699130235,1.8598196952251176,-0.7490088965917829,SMH
SOXL,MHT,1.696163114735394,0.424215711050806,0.1986973505182439,0.8492656688271055,0.5501074712504295,-0.8601902448897236,SMH
