product,signal,family,strategy,period,start,end,total_return,end_value,cagr,ann_vol,sharpe,max_drawdown,calmar,exposure,trades
USD,SMH,PULLBACK_RECLAIM,RSI5_R10_H40,EARLY,2007-01-01,2015-12-31,0.7745110104171247,17745.110104171246,0.06646472949649929,0.21191253304547242,0.40954997682612176,-0.3639715833284156,0.1826096666357808,0.2493321460373998,14.0
USD,SMH,PULLBACK_RECLAIM,RSI5_R10_H40,MID,2016-01-01,2020-12-31,1.7813100249462845,27813.100249462845,0.22721442662479352,0.23336005899535467,0.9952505641339929,-0.2436201137739037,0.9326587329142462,0.28594122319301035,8.5
USD,SMH,PULLBACK_RECLAIM,RSI5_R10_H40,COVID_TO_2023,2021-01-01,2023-12-31,1.4290871508779577,24290.871508779575,0.3458383790960011,0.29728422927562764,1.1444021951987395,-0.25485309777918996,1.3570106940416424,0.21248339973439576,4.0
USD,SMH,PULLBACK_RECLAIM,RSI5_R10_H40,RECENT,2024-01-01,2099-12-31,14.241258711386182,152412.5871138618,1.9327475941530867,0.39008935642624515,2.956856979141922,-0.19795191924941313,9.763722430586219,0.3761755485893417,6.0
USD,SMH,MA_REGIME,MA63_EXIT250,EARLY,2007-01-01,2015-12-31,0.9633252051455639,19633.252051455638,0.07863267697477583,0.3613121639169079,0.39060119811908783,-0.543982110503884,0.1445501156314485,0.695013357079252,143.5
USD,SMH,MA_REGIME,MA63_EXIT250,MID,2016-01-01,2020-12-31,5.948800320645226,69488.00320645227,0.4740618588853516,0.45485611653103375,1.0824004701191554,-0.4241556142373485,1.117660224155554,0.8530579825258141,16.5
USD,SMH,MA_REGIME,MA63_EXIT250,COVID_TO_2023,2021-01-01,2023-12-31,2.4049479977890593,34049.479977890594,0.5068735686766908,0.5446595288364805,1.024191300135295,-0.5217010090316063,0.9715786626856663,0.7290836653386454,37.5
USD,SMH,MA_REGIME,MA63_EXIT250,RECENT,2024-01-01,2099-12-31,6.048359214502306,70483.59214502307,1.162626292644163,0.7292393977835758,1.4307031212723444,-0.5482123827747793,2.1207589050789495,0.9028213166144201,5.5
USD,SMH,BREAKOUT_RSI,B20_RSI92,EARLY,2007-01-01,2015-12-31,-0.21127255433238556,7887.274456676144,-0.026277379395679534,0.3042985603478009,0.06515852857729493,-0.6140848500065845,-0.0427911214474641,0.41763134461264473,113.5
USD,SMH,BREAKOUT_RSI,B20_RSI92,MID,2016-01-01,2020-12-31,0.6924302105428164,16924.302105428163,0.11106240894967345,0.43860963451790547,0.4600405999293726,-0.6121712726422444,0.18142375167378824,0.6020651310563939,102.5
USD,SMH,BREAKOUT_RSI,B20_RSI92,COVID_TO_2023,2021-01-01,2023-12-31,1.1268328213362584,21268.328213362583,0.2872997594644371,0.4217814799976966,0.8070463263472651,-0.28493097564498204,1.0083135356347024,0.41301460823373176,39.5
USD,SMH,BREAKOUT_RSI,B20_RSI92,RECENT,2024-01-01,2099-12-31,3.502216020781721,45022.16020781721,0.8117286751437143,0.49421474694941225,1.4536749024810554,-0.5385324778466707,1.5072975327122744,0.4263322884012539,47.5
USD,SOXX,MHT,MHT6_3,EARLY,2007-01-01,2015-12-31,0.32116952324171444,13211.695232417145,0.031742889050457856,0.26799146017220965,0.25145912139790333,-0.46563594704243194,0.06817104489479037,0.42564559216384684,33.5
USD,SOXX,MHT,MHT6_3,MID,2016-01-01,2020-12-31,0.5563945927714831,15563.94592771483,0.09258305844574188,0.3646590252066748,0.4276035064269708,-0.5127122807728325,0.1805750747889003,0.636219221604448,24.5
USD,SOXX,MHT,MHT6_3,COVID_TO_2023,2021-01-01,2023-12-31,1.041415644474307,20414.156444743072,0.26976126683722823,0.4139163225818715,0.7820135709271713,-0.3551965615157884,0.7594703779958676,0.47410358565737054,10.5
USD,SOXX,MHT,MHT6_3,RECENT,2024-01-01,2099-12-31,3.846423224507448,48464.232245074476,0.8652226685098938,0.5287520598558563,1.4461087057619932,-0.43410390061420434,1.993123460272319,0.5799373040752351,8.0
SOXL,SMH,PULLBACK_RECLAIM,RSI5_R10_H40,EARLY,2007-01-01,2015-12-31,-0.061813229090345145,9381.867709096548,-0.01092294684266959,0.36247709010417734,0.1511724228204207,-0.5368918963278162,-0.020344778748532726,0.273224043715847,10.0
SOXL,SMH,PULLBACK_RECLAIM,RSI5_R10_H40,MID,2016-01-01,2020-12-31,4.704675203424875,57046.75203424875,0.4169884704751248,0.3518950823578137,1.1688121259868465,-0.37666293071358004,1.1070600169895903,0.28594122319301035,8.5
SOXL,SMH,PULLBACK_RECLAIM,RSI5_R10_H40,COVID_TO_2023,2021-01-01,2023-12-31,1.5224004206977626,25224.004206977625,0.3629239637475603,0.40712079631999515,0.9618070928031837,-0.3590593724797132,1.010763098150475,0.21248339973439576,4.0
SOXL,SMH,PULLBACK_RECLAIM,RSI5_R10_H40,RECENT,2024-01-01,2099-12-31,31.545093165061644,325450.93165061646,2.957382904943494,0.5993738070165848,2.5954170865122355,-0.2711647690173763,10.906221024435457,0.3761755485893417,6.0
SOXL,SMH,MA_REGIME,MA63_EXIT250,EARLY,2007-01-01,2015-12-31,0.27426183351882183,12742.61833518822,0.04260138276966163,0.5499899642030643,0.3530971438545881,-0.7298857520484179,0.05836719329032144,0.7793715846994536,58.5
SOXL,SMH,MA_REGIME,MA63_EXIT250,MID,2016-01-01,2020-12-31,20.374103679457185,213741.03679457185,0.8458178576721544,0.6781167691815572,1.2475037990188105,-0.5552927263984097,1.5231927548521493,0.8530579825258141,16.5
SOXL,SMH,MA_REGIME,MA63_EXIT250,COVID_TO_2023,2021-01-01,2023-12-31,1.8944653043369781,28944.65304336978,0.427148247674791,0.7605720738570896,0.8477725645680247,-0.6341329688095045,0.6735941335406386,0.7290836653386454,37.5
SOXL,SMH,MA_REGIME,MA63_EXIT250,RECENT,2024-01-01,2099-12-31,6.7311381553792815,77311.38155379282,1.2430669386237532,1.055652708731544,1.3011758512024751,-0.6640480121179303,1.8719534068915986,0.9028213166144201,5.5
SOXL,SMH,BREAKOUT_RSI,B20_RSI92,EARLY,2007-01-01,2015-12-31,0.17370077470617118,11737.007747061713,0.02795237333853695,0.5120167499214406,0.3105919233084508,-0.723948326770474,0.03861100620707585,0.46994535519125685,87.5
SOXL,SMH,BREAKOUT_RSI,B20_RSI92,MID,2016-01-01,2020-12-31,0.8902607351116338,18902.607351116338,0.1359213696436361,0.662283530815658,0.5284921239167683,-0.8492342891217718,0.16005167406063878,0.6020651310563939,102.5
SOXL,SMH,BREAKOUT_RSI,B20_RSI92,COVID_TO_2023,2021-01-01,2023-12-31,0.9365481258602779,19365.48125860278,0.24754803866387265,0.589179457829153,0.6675872609558042,-0.41695025012075104,0.5937112127698242,0.41301460823373176,39.5
SOXL,SMH,BREAKOUT_RSI,B20_RSI92,RECENT,2024-01-01,2099-12-31,3.0893347740616974,40893.34774061698,0.7441876853652389,0.7727256447007164,1.1126316641115397,-0.6647578737142839,1.119486830907541,0.4263322884012539,47.5
SOXL,SOXX,MHT,MHT6_3,EARLY,2007-01-01,2015-12-31,1.3082587592715194,23082.587592715194,0.15486860842801264,0.3909749059273241,0.5656025138446232,-0.4276742688628765,0.3621181345321188,0.4576502732240437,19.5
SOXL,SOXX,MHT,MHT6_3,MID,2016-01-01,2020-12-31,1.6811487182101121,26811.487182101122,0.2182382247638912,0.5422829670502265,0.6402486735146949,-0.6038102063369598,0.36143513718961895,0.636219221604448,24.5
SOXL,SOXX,MHT,MHT6_3,COVID_TO_2023,2021-01-01,2023-12-31,0.8612724230797197,18612.724230797197,0.2311046195463613,0.5756442802842664,0.6479090341652308,-0.4612822392658117,0.5010048076296915,0.47410358565737054,10.5
SOXL,SOXX,MHT,MHT6_3,RECENT,2024-01-01,2099-12-31,5.757441906547157,67574.41906547158,1.1269192930792382,0.8281025937168142,1.326459173710847,-0.5235697565164236,2.152376601309454,0.5799373040752351,8.0
