strategy,family,asset_count,median_asset_score,median_cagr,median_sharpe,median_calmar,median_late_cagr,median_stress_cagr,worst_maxdd,worst_late_cagr,median_trades,median_exposure,robust_score,actual_asset_count,actual_median_cagr,actual_median_sharpe,actual_median_calmar,actual_positive_share,actual_score,final_score,universe,leverage
MA_50_200,ma_crossover,3,0.8840740740740741,0.14654976623858795,0.599265080190151,0.2374184600764989,0.2301693272271026,0.11795646491578737,-0.6595346076554293,0.12956347127637047,16.0,0.7151576805696847,0.9230215827338129,3,0.22093187762024535,0.7544332768685013,0.4317165385534117,1.0,0.9963855421686746,0.9376943746207852,index,2
TSMOM_E4_X0,time_series_momentum,3,0.8978102189781022,0.14167808179084584,0.5836926824027235,0.26676082915033905,0.21138035712148362,0.11259766935319848,-0.6948084082467972,0.1479566305505906,28.0,0.6942304897543962,0.9118705035971224,3,0.20289734222649924,0.7475404548165889,0.42972014458325647,1.0,0.9825301204819276,0.9260024269740835,index,2
PRICE_SMA200_H1,price_hysteresis,3,0.9157894736842105,0.11600481739677648,0.5740190323230819,0.2519557841106922,0.2208306411703942,0.08318649863998373,-0.8053670046605347,0.12347378679098475,47.0,0.7126871094317686,0.8658273381294964,3,0.20089172425926805,0.7428590639688921,0.4362957376716776,1.0,0.9816265060240964,0.8889871717084165,index,2
PRICE_SMA200_H2,price_hysteresis,3,0.9021897810218978,0.13399738404118788,0.6077767116805478,0.28375061587297457,0.19113220774977546,0.10389401700599032,-0.78612270081041,0.14669414324715846,32.0,0.7107978491498329,0.866546762589928,3,0.1880657782028461,0.7105703485834903,0.38468040193932823,1.0,0.9563253012048192,0.8845024703129063,index,2
MHT_E6_X1,multi_horizon_trend,3,0.7879699248120301,0.1154283896328665,0.5363587850819066,0.16682269740017902,0.23083100706745352,0.08794861491361305,-0.7343290137625704,0.13463648147411966,28.0,0.6539747129777649,0.8586330935251798,3,0.21418516362273365,0.7412840579804988,0.3977093462725043,1.0,0.9858433734939759,0.8840751495189391,index,2
PRICE_SMA200_H3,price_hysteresis,3,0.8437956204379563,0.13520962647445023,0.5728938360411086,0.22718893401971008,0.19894896276143292,0.1062718209819753,-0.7499762416076338,0.1396030670669437,24.0,0.7080366225839267,0.8636690647482015,3,0.19630374180538523,0.713944699578061,0.3726986911683902,1.0,0.96144578313253,0.8832244084250672,index,2
TSMOM_E3_X0,time_series_momentum,3,0.8334586466165413,0.14292440300979625,0.550065845670947,0.22077023298611945,0.2319864535487366,0.10919823232683346,-0.8117738590303842,0.15994812782587142,38.0,0.7772126144455748,0.8492805755395684,3,0.20809182211272104,0.7172035970978858,0.3474083695514439,1.0,0.9686746987951806,0.8731594001906908,index,2
MHT_VOL_E4_VR80,volatility_managed_trend,3,0.7605263157894737,0.09440405279227493,0.46905111044146885,0.1442596966960148,0.17052409117483291,0.06697286985032358,-0.6544035163972646,0.11507937472514196,53.0,0.5513733468972533,0.8460431654676259,3,0.16578166352730284,0.6601814261227797,0.34378958232497625,1.0,0.9337349397590361,0.863581520325908,index,2
MHT_VOL_E5_VR80,volatility_managed_trend,3,0.8654135338345864,0.07963313459681842,0.4789093450208841,0.1859599542309616,0.16444021733377823,0.05187597513882025,-0.7222729457654475,0.09925454345034801,49.0,0.5250690306641477,0.8431654676258995,3,0.1560472401589048,0.6225791702274661,0.28875262831045806,1.0,0.8903614457831325,0.8526046632573462,index,2
MHT_E5_X1,multi_horizon_trend,3,0.769172932330827,0.14277679741369287,0.5553007836611519,0.16756723133391482,0.2791839313111024,0.11080120279680972,-0.8520567910391649,0.1435057456514528,39.0,0.7196628397035315,0.8187050359712231,3,0.2334572219463229,0.6954410153535211,0.34452873630045017,1.0,0.9701807228915663,0.8490001733552919,index,2
PRICE_SMA200_H0,price_hysteresis,3,0.8304511278195489,0.10233082220003387,0.5237424829160696,0.18777900404542655,0.18609095118111196,0.06214466583955769,-0.8242936588757453,0.15009467158134915,95.0,0.7158843191396599,0.8097122302158274,3,0.1894989751054783,0.6579610249413832,0.31762846541172673,1.0,0.9313253012048193,0.8340348444136259,index,2
MHT_E4_X1,multi_horizon_trend,3,0.7443609022556391,0.10655036194705514,0.5289417845404347,0.13925890715706615,0.2796733897938861,0.07219971816787041,-0.8696658516097865,0.16049899348493946,55.0,0.7498910042145037,0.7906474820143884,3,0.21289469635196356,0.7279768344451354,0.3223295821241553,1.0,0.9638554216867469,0.8252890699488601,index,2
PRICE_SMA100_H2,price_hysteresis,3,0.7521897810218977,0.1039495055331634,0.4464361404613951,0.1416719360913412,0.17075623450041455,0.07080126445973889,-0.76508991507061,0.13466084362444986,54.0,0.683912222060747,0.8014388489208633,3,0.17061179367757418,0.6376160785446346,0.2861216151349148,1.0,0.9054216867469879,0.8222354164860882,index,2
PRICE_SMA100_H3,price_hysteresis,3,0.7350364963503649,0.11329179796214373,0.46544299273694584,0.14050700734498203,0.18124687364140457,0.0820524771501081,-0.8063071024207517,0.13921975128663444,40.0,0.6932131957564307,0.7856115107913669,3,0.16398563475655825,0.6568189588187837,0.3381712790828933,1.0,0.9243975903614458,0.8133687267053827,index,2
TSMOM_E4_X1,time_series_momentum,3,0.7958646616541353,0.08939264224774557,0.49970005919646593,0.1589124614440572,0.1310781290673826,0.060834079461330015,-0.7349491862470676,0.09816380565143601,52.0,0.5929370730998401,0.7920863309352518,3,0.12170633027738975,0.6409353382586848,0.3036010363798535,1.0,0.8816265060240963,0.8099943659530208,index,2
TSMOM_E3_X1,time_series_momentum,3,0.7337037037037037,0.09963957215085162,0.49817927013937663,0.14284537947032658,0.17609801850637097,0.06273766748351228,-0.7964394361630593,0.1614608510816844,80.0,0.6977183548902776,0.775179856115108,3,0.1774851667959032,0.6939192631500912,0.3516958842804334,1.0,0.9460843373493975,0.8093607523619659,index,2
MHT_E4_X2,multi_horizon_trend,3,0.7206766917293232,0.09787990151234283,0.48735806074978394,0.1230008119959821,0.19768336091009786,0.059257401100482276,-0.8037689495005331,0.16574007168186422,94.0,0.6990263043162331,0.7616906474820145,3,0.20356302278941074,0.7250233880050015,0.3803728771398205,1.0,0.9728915662650601,0.8039308312386236,index,2
MHT_E5_X2,multi_horizon_trend,3,0.7466165413533835,0.09468803548582772,0.46447752371847295,0.13705376324025031,0.1621278491985283,0.059724296661118226,-0.788778455605244,0.12128410857283445,77.0,0.6605144601075426,0.7760791366906477,3,0.16124407726785583,0.6353597288303676,0.2822788579990603,1.0,0.8936746987951806,0.7995982491115543,index,2
MHT_E6_X2,multi_horizon_trend,3,0.7962406015037594,0.07892958540522232,0.4642834996199312,0.15034892142978631,0.12130822032038191,0.048715570488515825,-0.7178918558638339,0.09922143667371475,55.0,0.5858160151140822,0.7859712230215827,3,0.11581234055222733,0.6046627773843956,0.2796710636627868,1.0,0.8481927710843372,0.7984155326341337,index,2
