family,strategy_count,best_final_score,median_final_score,median_cagr,median_late_cagr,median_stress_cagr,worst_maxdd,universe,leverage
ma_crossover,5,0.9376943746207852,0.6210735026436682,0.06665765809384694,0.19864634031659456,0.027475809990955558,-0.9584110295358572,index,2
time_series_momentum,6,0.9260024269740835,0.8096775591574934,0.0945161071992986,0.15358807378687678,0.06178587347242115,-0.8309626296201713,index,2
price_hysteresis,16,0.8889871717084165,0.7104221201352172,0.0838187758064991,0.17862678865444348,0.04731034494563602,-0.9655078283045335,index,2
multi_horizon_trend,9,0.8840751495189391,0.7995982491115543,0.09468803548582772,0.1621278491985283,0.059257401100482276,-0.8696658516097865,index,2
volatility_managed_trend,6,0.863581520325908,0.76007887665771,0.08310255021583468,0.15350153240056985,0.05104194752960112,-0.8037689495005331,index,2
pullback_reclaim,51,0.7823446303198405,0.39064199243015235,0.013841423076059955,0.0008712976489693158,-0.015741379597816296,-0.8729713010277846,index,2
breakout,40,0.7395224061714484,0.5048899193897894,0.028730687898992913,0.07892319518061564,-0.0013654652191857908,-0.919127059077849,index,2
drawdown_reclaim,6,0.5798207217358644,0.47462613042096446,0.0188414062591665,0.003760027683283762,-0.013367766755429833,-0.4590148096000064,index,2
ma_crossover,5,0.9250793100459394,0.49388532547456016,0.04355243233926909,0.26640829052900616,-0.007348861830782094,-0.9956527054473172,index,3
time_series_momentum,6,0.9240751495189392,0.8060570338909596,0.11157403559552992,0.19365455790527886,0.054701625560886535,-0.9522153936336382,index,3
price_hysteresis,16,0.8896294530640548,0.6894294443962902,0.06869767366943025,0.21995587925359017,0.012635493438843404,-0.9981549197771942,index,3
multi_horizon_trend,9,0.8879899453930832,0.797651902574326,0.10053163659580733,0.1987045048181484,0.04208975133651238,-0.9586917533053334,index,3
volatility_managed_trend,6,0.8617612897633701,0.7267034324347752,0.08330703722254629,0.19082966711099458,0.02941679180745882,-0.9338318586120569,index,3
pullback_reclaim,51,0.8258832452110602,0.4148572708098581,0.015244787262630899,-0.00453789252728154,-0.0115041296745787,-0.963728483227426,index,3
breakout,40,0.728719771171015,0.47370611944179597,0.019368008812429727,0.10130078725116953,-0.018643467144740355,-0.9883354007888079,index,3
drawdown_reclaim,6,0.673576464129901,0.559056441593713,0.02755326722096446,0.0017247399813347664,-0.006571486684769312,-0.5939453066643786,index,3
multi_horizon_trend,9,0.8713061212879737,0.7224123904881101,0.14624289974516702,0.20084670715309194,0.14845517607801462,-0.997991676744888,stock,2
time_series_momentum,6,0.8518383395911557,0.8119327473736111,0.16631905565560168,0.19405091579912437,0.1724561392188637,-0.9997924028840633,stock,2
price_hysteresis,16,0.8458227329616568,0.6978650585959723,0.15329263996968745,0.19993138227833374,0.15143239484549476,-0.9999890048449133,stock,2
volatility_managed_trend,6,0.8454263662911974,0.8150306633291615,0.1709924017645188,0.1946090777986228,0.17839301797629858,-0.9955789076786068,stock,2
ma_crossover,5,0.812064246975386,0.6661506049228203,0.13656030132809605,0.19350814683639217,0.13861698724581584,-0.9999991802852352,stock,2
breakout,40,0.7625725907384231,0.6733233208176888,0.1070579023997249,0.16863594881350163,0.10342526661458107,-0.999260990165848,stock,2
relative_strength,4,0.7032722152690863,0.6458472048393826,0.0840641905162095,0.18544533597102952,0.05854058658929617,-0.9834653284736848,stock,2
gap_momentum_proxy,18,0.6160104992351552,0.46438329161451813,0.012329915916161005,0.055563953933673915,0.00914113420426893,-0.9821672253836645,stock,2
drawdown_reclaim,15,0.5515166179947156,0.2542107748321766,-0.008160263498944553,-0.002485104622112877,-0.039011125089436716,-0.9515083747052229,stock,2
pullback_reclaim,51,0.4999889445139758,0.27519858156028365,-0.007911328272187435,0.00608941424071574,-0.025960737949535795,-0.9996446890847037,stock,2
