universe,leverage,asset,strategy,family,cagr,late_cagr,stress_cagr,sharpe,maxdd,calmar,trades,exposure
index,2,QQQ,MA_50_200,ma_crossover,0.1465499362319833,0.23016959469592035,0.11795663115450683,0.5552890382502302,-0.6434121501871859,0.22776992350758063,17.0,0.7151576805696847
index,2,SOXX,MHT_E6_X1,multi_horizon_trend,0.20258362454633372,0.3883806132484011,0.17455353584932976,0.6532665559979933,-0.6159107789882832,0.32891716050026715,28.0,0.5989823501351567
index,2,SPY,PRICE_SMA200_H2,price_hysteresis,0.13399731310183327,0.146693928487045,0.1038939476298344,0.6350722889298303,-0.39439832247098805,0.33975122475752956,25.0,0.7492579840911789
index,3,QQQ,RSI2_15_REC3_XR70_T20,pullback_reclaim,0.13207018249371516,0.08538576616679738,0.07980052284447958,0.6543992192610973,-0.4495292117711357,0.2937966633433262,279.0,0.1123383229181805
index,3,SOXX,MHT_E6_X1,multi_horizon_trend,0.2246366520518177,0.46598723378140794,0.1747767344296276,0.6407095458428257,-0.7774086507366857,0.28895568867023563,28.0,0.5989823501351567
index,3,SPY,RSI2_15_REC3_XR70_T20,pullback_reclaim,0.08807934069354473,0.060559602870561946,0.03511469023110747,0.6053465953741022,-0.2810756097600232,0.31336529259420665,358.0,0.12038466104713286
stock,2,AAPL,MHT_VOL_E5_VR80,volatility_managed_trend,0.2276202602512123,0.16897229246380707,0.23382882715212205,0.654659419334183,-0.9387979656186568,0.2424592602320066,66.0,0.4511749347258486
stock,2,AMD,MA_10_30,ma_crossover,0.2041018768824494,0.11451318055311566,0.2018012578969115,0.6323962966258135,-0.9775512111863611,0.20878893560445833,211.0,0.5184106867614318
stock,2,AMZN,TSMOM_E4_X0,time_series_momentum,0.20390032465649566,0.1336856243911202,0.22147934659649904,0.6391129660263506,-0.9349210602313356,0.21809362664912355,30.0,0.6482692831834287
stock,2,GOOGL,TSMOM_E3_X1,time_series_momentum,0.19378684880340802,0.27264346591902844,0.19857880151843887,0.616740624046803,-0.5957583783513403,0.3252775887763091,70.0,0.6754354136429608
stock,2,META,MHT_VOL_E4_VR80,volatility_managed_trend,0.2737831304030933,0.3964508638535287,0.2537448880614839,0.7179542894037697,-0.5757210466620275,0.4755482398819016,25.0,0.5550561797752809
stock,2,MSFT,MA_10_30,ma_crossover,0.16349255881511482,0.06535463690936338,0.15409284860103356,0.5573566765451711,-0.7850893035710578,0.20824708484939541,190.0,0.6137347500983865
stock,2,MU,MHT_VOL_E4_VR100,volatility_managed_trend,0.21788998018651906,0.5412994727040332,0.2279175017657844,0.642505469355866,-0.9807512564364561,0.22216640433193915,101.0,0.5244511448223876
stock,2,NVDA,MHT_VOL_E5_VR100,volatility_managed_trend,0.4496082400631862,0.9463108741592303,0.4786041466486446,0.8611693311114572,-0.785902830834762,0.5720913863939465,60.0,0.5492550267611745
stock,2,TSLA,MA_10_30,ma_crossover,0.37888819625325065,0.3112725726248997,0.39849744773436613,0.7966682539139659,-0.88494432078315,0.42814919238980553,74.0,0.5546197671538271
