product,signal,strategy,median_cagr,worst_cagr,median_sharpe,worst_sharpe,median_calmar,worst_maxdd,median_exposure,trades,score
SOXL,SMH,PB_RSI5_R10_H40,1.1457401954846498,0.45159225356992794,1.8283130666067282,1.1059269825606544,3.799454920198634,-0.5368917822906194,0.28807127241134944,62.0,5.330590939031856
SOXL,SMH,PB_RSI5_R10_H40_TS16,1.1457401954846498,0.45159225356992794,1.8283130666067282,1.1059269825606544,3.799454920198634,-0.5368917822906194,0.28807127241134944,62.0,5.330590939031856
SOXL,SMH,PB_RSI5_R10_H40_TS12,1.1270562187135693,0.42476019663580655,1.808705112143547,1.0672980703783512,3.644286516107942,-0.5223279082034353,0.2868774801312062,73.0,5.287909728056038
SOXL,SMH,PB_RSI5_R10_H40_TS8,1.0693870751909729,0.35782287440260707,1.774021624202375,0.9718903586873161,3.4388321149676786,-0.640038200659544,0.28170247779276847,86.0,5.195905651075507
SOXL,SMH,PB_RSI5_R10_H30,0.8426595514270798,0.3622332890430444,1.716641602236888,1.0184949950102478,2.9557497286785632,-0.6204456556552898,0.2222332086999365,61.0,5.108131724189534
SOXL,SMH,PB_RSI5_R10_H30_TS16,0.8426595514270798,0.3622332890430444,1.716641602236888,1.0184949950102478,2.9557497286785632,-0.6204456556552898,0.2222332086999365,61.0,5.108131724189534
SOXL,SMH,HYB_F40_L5_B35,1.0717948645007382,0.4622910317954909,1.6165555259173252,1.0601661553871227,2.897019195043313,-0.5750706012123106,0.47425204973022417,137.075,5.009761775705164
SOXL,SMH,PB_RSI5_R10_H30_TS12,0.8426595514270798,0.33915980267557866,1.716641602236888,0.9789710835256941,2.9557497286785632,-0.6742523216784184,0.2213826619198636,63.0,4.836714003134663
SOXL,SMH,PB_RSI5_R15_H40,0.8820522973492765,0.3169148213486679,1.6414490750391442,0.9122070492327564,2.7479991356127362,-0.6266035837937355,0.23027162310660154,51.0,4.775957383634403
SOXL,SMH,PB_RSI5_R15_H40_TS16,0.8820522973492765,0.3169148213486679,1.6414490750391442,0.9122070492327564,2.7479991356127362,-0.6266035837937355,0.23027162310660154,51.0,4.775957383634403
SOXL,SMH,PB_RSI5_R10_H30_TS8,0.8182385002679231,0.3009567454111355,1.6900062131226985,0.9183398627106121,2.9251216842515326,-0.7701185257920374,0.21733953067378914,68.0,4.745191235757452
SOXL,SMH,HYB_F63_L5_B35,1.0556816919905723,0.4862504444374143,1.6120665644745982,1.1007033126773789,2.5814021100417985,-0.44375110683211993,0.470160405260809,115.725,4.711769724904449
SOXL,SMH,PB_RSI5_R10_H50_TS12,1.0404781692206346,0.4685527842862438,1.580598989870496,1.0730362684979242,2.542223472683819,-0.5421166647682547,0.3484005878594654,71.0,4.625357921821918
SOXL,SMH,HYB_F50_L5_B35,1.0141946332717575,0.4496534198428772,1.567141837103349,1.0425437195020109,2.5718749015174254,-0.5289817253293567,0.4722681569810255,126.925,4.624479378417715
SOXL,SMH,PB_RSI5_R10_H50,1.0514295496719879,0.48850460287326447,1.5822382646346842,1.0880971234089016,2.4936489500568824,-0.5815711465796511,0.35178299931987134,60.0,4.592163796980424
SOXL,SMH,PB_RSI5_R15_H40_TS12,0.8854635273702519,0.30388835822578564,1.6492963928672153,0.8951755754251236,2.7871502613042893,-0.660083019818481,0.22820600949785308,60.0,4.562184727140679
SOXL,SMH,PB_RSI5_R15_H40_TS8,0.8400973787213837,0.30494146558615176,1.6102990399118964,0.9083960159943769,2.821711300558244,-0.6622431374341147,0.22308869019668592,65.0,4.561580077261811
SOXL,SMH,PB_RSI5_R10_H50_TS16,1.040603004525725,0.4774129184018021,1.5742330891672798,1.0762360929336114,2.4783919047966685,-0.578585598657164,0.35098713779977586,62.0,4.560390476398252
