route,frozen_candidate,bootstrap_p_positive_excess,dsr_vs_cash_probability,search_pbo,stress_3x_cost_cagr_delta,average_target_exposure,average_leveraged_weight,start,end,cagr,benchmark_cagr,cagr_delta,sharpe,benchmark_sharpe,sharpe_delta,maxdd,benchmark_maxdd,maxdd_improvement,terminal,benchmark_terminal
USD_2X,SOXX_RSI10_R5_H40_LSTOP12,0.9840000000,0.6933862365,0.4000000000,0.0285367339,1.2529359953,0.2529359953,2013-01-02,2026-07-20,0.3648135866,0.3029201876,0.0618933990,1.0257619002,1.0242632252,0.0014986749,-0.4811891355,-0.4737382677,-0.0074508678,66.9320417762,35.7449397653
SOXL_3X,SOXX_RSI10_R5_H40_LSTOP12,0.9970000000,0.6972165663,0.4000000000,0.0510616905,1.2529359953,0.1264679977,2013-01-02,2026-07-20,0.3673169659,0.3029201876,0.0643967784,1.0282275385,1.0242632252,0.0039643133,-0.5133524638,-0.4737382677,-0.0396141961,68.6105482486,35.7449397653
