route,neighbour_all_three_pass_rate,gate_oos_return,gate_oos_sharpe,gate_oos_drawdown,gate_cost_stress,gate_bootstrap,gate_dsr,gate_search_pbo,gate_blocks,gate_rolling_3y,gate_rolling_5y,gate_neighbours,all_gates_pass
USD_2X,0.08641975308641975,True,True,True,True,True,False,False,False,False,False,False,False
SOXL_3X,0.12345679012345678,True,True,False,True,True,False,False,False,False,False,False,False
