,Open,High,Low,Close,Volume
2026-05-26,164.0,164.0,156.6,157.4,10610800
2026-05-27,177.46,182.7,165.1,167.6,22032000
2026-05-28,162.0,162.5,146.6,158.46,13908200
2026-05-29,170.1,181.1,168.7,177.16,19487600
2026-06-01,201.3,219.3,201.3,218.6,15963600
2026-06-02,222.7,231.5,208.9,225.3,18769300
2026-06-03,236.0,243.1,233.4,238.5,8734600
2026-06-04,225.0,225.3,212.5,214.8,18131800
2026-06-05,182.6,205.2,179.44,185.9,27889300
2026-06-08,159.96,169.76,140.04,154.3,49828200
2026-06-09,151.5,176.26,151.5,168.8,29940100
2026-06-10,156.84,156.86,141.2,148.5,26790100
2026-06-11,147.26,152.1,139.6,147.4,21326600
2026-06-12,169.5,181.8,156.3,166.0,30798500
2026-06-15,182.8,187.0,179.1,187.0,12742200
2026-06-16,180.5,189.7,180.5,187.5,11354300
2026-06-17,180.0,196.5,178.0,193.0,15021600
2026-06-18,197.56,213.3,193.0,209.1,17527400
2026-06-22,211.4,212.3,194.0,203.5,24815000
2026-06-23,187.34,187.36,143.94,154.1,37481800
2026-06-24,167.1,179.56,155.54,179.56,33187600
2026-06-25,198.0,202.5,193.3,197.26,17457000
2026-06-26,185.84,185.86,156.34,176.34,21891400
2026-06-29,159.96,168.36,151.7,158.0,15842600
2026-06-30,162.16,177.46,161.6,167.5,10009300
2026-07-02,142.4,142.4,115.7,123.0,31536600
2026-07-03,127.5,141.7,127.0,137.26,27931200
2026-07-06,146.46,147.8,132.24,147.5,19320500
2026-07-07,126.46,129.6,112.3,123.26,28526600
2026-07-08,123.16,123.16,104.6,106.7,24972100
2026-07-09,116.04,116.06,100.34,112.8,20897900
2026-07-10,116.4,122.6,111.04,111.54,14744700
2026-07-13,104.05,104.1,84.28,89.14,25114500
2026-07-14,96.6,97.78,82.38,95.3,36185700
2026-07-15,104.0,109.36,101.7,103.3,17469900
2026-07-16,86.12,92.12,82.28,83.0,23636500
2026-07-17,79.8,80.0,61.64,67.2,51481100
2026-07-20,81.88,83.0,76.1,77.8,33553500
2026-07-21,84.9,90.5,84.9,89.2,15899700
